Prime Number,Smallest Primitive Root
2,1
3,2
5,2
7,3
11,2
13,2
17,3
19,2
23,5
29,2
31,3
37,2
41,6
43,3
47,5
53,2
59,2
61,2
67,2
71,7
73,5
79,3
83,2
89,3
97,5
101,2
103,5
107,2
109,6
113,3
127,3
131,2
137,3
139,2
149,2
151,6
157,5
163,2
167,5
173,2
179,2
181,2
191,19
193,5
197,2
199,3
211,2
223,3
227,2
229,6
233,3
239,7
241,7
251,6
257,3
263,5
269,2
271,6
277,5
281,3
283,3
293,2
307,5
311,17
313,10
317,2
331,3
337,10
347,2
349,2
353,3
359,7
367,6
373,2
379,2
383,5
389,2
397,5
401,3
409,21
419,2
421,2
431,7
433,5
439,15
443,2
449,3
457,13
461,2
463,3
467,2
479,13
487,3
491,2
499,7
503,5
509,2
521,3
523,2
541,2
547,2
557,2
563,2
569,3
571,3
577,5
587,2
593,3
599,7
601,7
607,3
613,2
617,3
619,2
631,3
641,3
643,11
647,5
653,2
659,2
661,2
673,5
677,2
683,5
691,3
701,2
709,2
719,11
727,5
733,6
739,3
743,5
751,3
757,2
761,6
769,11
773,2
787,2
797,2
809,3
811,3
821,2
823,3
827,2
829,2
839,11
853,2
857,3
859,2
863,5
877,2
881,3
883,2
887,5
907,2
911,17
919,7
929,3
937,5
941,2
947,2
953,3
967,5
971,6
977,3
983,5
991,6
997,7
1009,11
1013,3
1019,2
1021,10
1031,14
1033,5
1039,3
1049,3
1051,7
1061,2
1063,3
1069,6
1087,3
1091,2
1093,5
1097,3
1103,5
1109,2
1117,2
1123,2
1129,11
1151,17
1153,5
1163,5
1171,2
1181,7
1187,2
1193,3
1201,11
1213,2
1217,3
1223,5
1229,2
1231,3
1237,2
1249,7
1259,2
1277,2
1279,3
1283,2
1289,6
1291,2
1297,10
1301,2
1303,6
1307,2
1319,13
1321,13
1327,3
1361,3
1367,5
1373,2
1381,2
1399,13
1409,3
1423,3
1427,2
1429,6
1433,3
1439,7
1447,3
1451,2
1453,2
1459,3
1471,6
1481,3
1483,2
1487,5
1489,14
1493,2
1499,2
1511,11
1523,2
1531,2
1543,5
1549,2
1553,3
1559,19
1567,3
1571,2
1579,3
1583,5
1597,11
1601,3
1607,5
1609,7
1613,3
1619,2
1621,2
1627,3
1637,2
1657,11
1663,3
1667,2
1669,2
1693,2
1697,3
1699,3
1709,3
1721,3
1723,3
1733,2
1741,2
1747,2
1753,7
1759,6
1777,5
1783,10
1787,2
1789,6
1801,11
1811,6
1823,5
1831,3
1847,5
1861,2
1867,2
1871,14
1873,10
1877,2
1879,6
1889,3
1901,2
1907,2
1913,3
1931,2
1933,5
1949,2
1951,3
1973,2
1979,2
1987,2
1993,5
1997,2
1999,3
2003,5
2011,3
2017,5
2027,2
2029,2
2039,7
2053,2
2063,5
2069,2
2081,3
2083,2
2087,5
2089,7
2099,2
2111,7
2113,5
2129,3
2131,2
2137,10
2141,2
2143,3
2153,3
2161,23
2179,7
2203,5
2207,5
2213,2
2221,2
2237,2
2239,3
2243,2
2251,7
2267,2
2269,2
2273,3
2281,7
2287,19
2293,2
2297,5
2309,2
2311,3
2333,2
2339,2
2341,7
2347,3
2351,13
2357,2
2371,2
2377,5
2381,3
2383,5
2389,2
2393,3
2399,11
2411,6
2417,3
2423,5
2437,2
2441,6
2447,5
2459,2
2467,2
2473,5
2477,2
2503,3
2521,17
2531,2
2539,2
2543,5
2549,2
2551,6
2557,2
2579,2
2591,7
2593,7
2609,3
2617,5
2621,2
2633,3
2647,3
2657,3
2659,2
2663,5
2671,7
2677,2
2683,2
2687,5
2689,19
2693,2
2699,2
2707,2
2711,7
2713,5
2719,3
2729,3
2731,3
2741,2
2749,6
2753,3
2767,3
2777,3
2789,2
2791,6
2797,2
2801,3
2803,2
2819,2
2833,5
2837,2
2843,2
2851,2
2857,11
2861,2
2879,7
2887,5
2897,3
2903,5
2909,2
2917,5
2927,5
2939,2
2953,13
2957,2
2963,2
2969,3
2971,10
2999,17
3001,14
3011,2
3019,2
3023,5
3037,2
3041,3
3049,11
3061,6
3067,2
3079,6
3083,2
3089,3
3109,6
3119,7
3121,7
3137,3
3163,3
3167,5
3169,7
3181,7
3187,2
3191,11
3203,2
3209,3
3217,5
3221,10
3229,6
3251,6
3253,2
3257,3
3259,3
3271,3
3299,2
3301,6
3307,2
3313,10
3319,6
3323,2
3329,3
3331,3
3343,5
3347,2
3359,11
3361,22
3371,2
3373,5
3389,3
3391,3
3407,5
3413,2
3433,5
3449,3
3457,7
3461,2
3463,3
3467,2
3469,2
3491,2
3499,2
3511,7
3517,2
3527,5
3529,17
3533,2
3539,2
3541,7
3547,2
3557,2
3559,3
3571,2
3581,2
3583,3
3593,3
3607,5
3613,2
3617,3
3623,5
3631,15
3637,2
3643,2
3659,2
3671,13
3673,5
3677,2
3691,2
3697,5
3701,2
3709,2
3719,7
3727,3
3733,2
3739,7
3761,3
3767,5
3769,7
3779,2
3793,5
3797,2
3803,2
3821,3
3823,3
3833,3
3847,5
3851,2
3853,2
3863,5
3877,2
3881,13
3889,11
3907,2
3911,13
3917,2
3919,3
3923,2
3929,3
3931,2
3943,3
3947,2
3967,6
3989,2
4001,3
4003,2
4007,5
4013,2
4019,2
4021,2
4027,3
4049,3
4051,10
4057,5
4073,3
4079,11
4091,2
4093,2
4099,2
4111,12
4127,5
4129,13
4133,2
4139,2
4153,5
4157,2
4159,3
4177,5
4201,11
4211,6
4217,3
4219,2
4229,2
4231,3
4241,3
4243,2
4253,2
4259,2
4261,2
4271,7
4273,5
4283,2
4289,3
4297,5
4327,3
4337,3
4339,10
4349,2
4357,2
4363,2
4373,2
4391,14
4397,2
4409,3
4421,3
4423,3
4441,21
4447,3
4451,2
4457,3
4463,5
4481,3
4483,2
4493,2
4507,2
4513,7
4517,2
4519,3
4523,5
4547,2
4549,6
4561,11
4567,3
4583,5
4591,11
4597,5
4603,2
4621,2
4637,2
4639,3
4643,5
4649,3
4651,3
4657,15
4663,3
4673,3
4679,11
4691,2
4703,5
4721,6
4723,2
4729,17
4733,5
4751,19
4759,3
4783,6
4787,2
4789,2
4793,3
4799,7
4801,7
4813,2
4817,3
4831,3
4861,11
4871,11
4877,2
4889,3
4903,3
4909,6
4919,13
4931,6
4933,2
4937,3
4943,7
4951,6
4957,2
4967,5
4969,11
4973,2
4987,2
4993,5
4999,3
5003,2
5009,3
5011,2
5021,3
5023,3
5039,11
5051,2
5059,2
5077,2
5081,3
5087,5
5099,2
5101,6
5107,2
5113,19
5119,3
5147,2
5153,5
5167,6
5171,2
5179,2
5189,2
5197,7
5209,17
5227,2
5231,7
5233,10
5237,3
5261,2
5273,3
5279,7
5281,7
5297,3
5303,5
5309,2
5323,5
5333,2
5347,3
5351,11
5381,3
5387,2
5393,3
5399,7
5407,3
5413,5
5417,3
5419,3
5431,3
5437,5
5441,3
5443,2
5449,7
5471,7
5477,2
5479,3
5483,2
5501,2
5503,3
5507,2
5519,13
5521,11
5527,5
5531,10
5557,2
5563,2
5569,13
5573,2
5581,6
5591,11
5623,5
5639,7
5641,14
5647,3
5651,2
5653,5
5657,3
5659,2
5669,3
5683,2
5689,11
5693,2
5701,2
5711,19
5717,2
5737,5
5741,2
5743,10
5749,2
5779,2
5783,7
5791,6
5801,3
5807,5
5813,2
5821,6
5827,2
5839,6
5843,2
5849,3
5851,2
5857,7
5861,3
5867,5
5869,2
5879,11
5881,31
5897,3
5903,5
5923,2
5927,5
5939,2
5953,7
5981,3
5987,2
6007,3
6011,2
6029,2
6037,5
6043,5
6047,5
6053,2
6067,2
6073,10
6079,17
6089,3
6091,7
6101,2
6113,3
6121,7
6131,2
6133,5
6143,5
6151,3
6163,3
6173,2
6197,2
6199,3
6203,2
6211,2
6217,5
6221,3
6229,2
6247,5
6257,3
6263,5
6269,2
6271,11
6277,2
6287,7
6299,2
6301,10
6311,7
6317,2
6323,2
6329,3
6337,10
6343,3
6353,3
6359,13
6361,19
6367,3
6373,2
6379,2
6389,2
6397,2
6421,6
6427,3
6449,3
6451,3
6469,2
6473,3
6481,7
6491,2
6521,6
6529,7
6547,2
6551,17
6553,10
6563,5
6569,3
6571,3
6577,5
6581,14
6599,13
6607,3
6619,2
6637,2
6653,2
6659,2
6661,6
6673,5
6679,7
6689,3
6691,2
6701,2
6703,5
6709,2
6719,11
6733,2
6737,3
6761,3
6763,2
6779,2
6781,2
6791,7
6793,10
6803,2
6823,3
6827,2
6829,2
6833,3
6841,22
6857,3
6863,5
6869,2
6871,3
6883,2
6899,2
6907,2
6911,7
6917,2
6947,2
6949,2
6959,7
6961,13
6967,5
6971,2
6977,3
6983,5
6991,6
6997,5
7001,3
7013,2
7019,2
7027,2
7039,3
7043,2
7057,5
7069,2
7079,7
7103,5
7109,2
7121,3
7127,5
7129,7
7151,7
7159,3
7177,10
7187,2
7193,3
7207,3
7211,2
7213,5
7219,2
7229,2
7237,2
7243,2
7247,5
7253,2
7283,2
7297,5
7307,2
7309,6
7321,7
7331,2
7333,6
7349,2
7351,6
7369,7
7393,5
7411,2
7417,5
7433,3
7451,2
7457,3
7459,2
7477,2
7481,6
7487,5
7489,7
7499,2
7507,2
7517,2
7523,2
7529,3
7537,7
7541,2
7547,2
7549,2
7559,13
7561,13
7573,2
7577,3
7583,5
7589,2
7591,6
7603,2
7607,5
7621,2
7639,7
7643,2
7649,3
7669,2
7673,3
7681,17
7687,6
7691,2
7699,3
7703,5
7717,2
7723,3
7727,5
7741,7
7753,10
7757,2
7759,3
7789,2
7793,3
7817,3
7823,5
7829,2
7841,12
7853,2
7867,3
7873,5
7877,2
7879,3
7883,2
7901,2
7907,2
7919,7
7927,3
7933,2
7937,3
7949,2
7951,6
7963,5
7993,5
8009,3
8011,14
8017,5
8039,11
8053,2
8059,3
8069,2
8081,3
8087,5
8089,17
8093,2
8101,6
8111,11
8117,2
8123,2
8147,2
8161,7
8167,3
8171,2
8179,2
8191,17
8209,7
8219,2
8221,2
8231,11
8233,10
8237,2
8243,2
8263,3
8269,2
8273,3
8287,3
8291,2
8293,2
8297,3
8311,3
8317,6
8329,7
8353,5
8363,2
8369,3
8377,5
8387,2
8389,6
8419,3
8423,5
8429,2
8431,3
8443,2
8447,5
8461,6
8467,2
8501,7
8513,5
8521,13
8527,5
8537,3
8539,2
8543,5
8563,2
8573,2
8581,6
8597,2
8599,3
8609,3
8623,3
8627,2
8629,6
8641,17
8647,3
8663,5
8669,2
8677,2
8681,15
8689,13
8693,2
8699,2
8707,5
8713,5
8719,3
8731,2
8737,5
8741,2
8747,2
8753,3
8761,23
8779,11
8783,5
8803,2
8807,5
8819,2
8821,2
8831,7
8837,2
8839,3
8849,3
8861,2
8863,3
8867,2
8887,3
8893,5
8923,2
8929,11
8933,2
8941,6
8951,13
8963,2
8969,3
8971,2
8999,7
9001,7
9007,3
9011,2
9013,5
9029,2
9041,3
9043,3
9049,7
9059,2
9067,3
9091,3
9103,6
9109,10
9127,3
9133,6
9137,3
9151,3
9157,6
9161,3
9173,2
9181,2
9187,3
9199,3
