Prime Number,Second Smallest Primitive Root
5,3
7,5
11,6
13,6
17,5
19,3
23,7
29,3
31,11
37,5
41,7
43,5
47,10
53,3
59,6
61,6
67,7
71,11
73,11
79,6
83,5
89,6
97,7
101,3
103,6
107,5
109,10
113,5
127,6
131,6
137,5
139,3
149,3
151,7
157,6
163,3
167,10
173,3
179,6
181,10
191,21
193,10
197,3
199,6
211,3
223,5
227,5
229,7
233,5
239,13
241,13
251,11
257,5
263,7
269,3
271,15
277,6
281,11
283,5
293,3
307,13
311,19
313,14
317,3
331,11
337,15
347,5
349,7
353,5
359,13
367,10
373,5
379,3
383,10
389,3
397,6
401,6
409,22
419,6
421,14
431,13
433,7
439,17
443,5
449,6
457,15
461,3
463,5
467,5
479,17
487,6
491,6
499,10
503,10
509,3
521,6
523,5
541,10
547,5
557,3
563,5
569,6
571,10
577,7
587,5
593,5
599,11
601,11
607,5
613,5
617,5
619,10
631,7
641,6
643,13
647,10
653,3
659,6
661,6
673,11
677,3
683,6
691,12
701,3
709,6
719,17
727,10
733,7
739,7
743,7
751,12
757,5
761,7
769,13
773,3
787,5
797,3
809,6
811,10
821,3
823,6
827,6
829,6
839,13
853,6
857,5
859,3
863,7
877,5
881,6
883,11
887,10
907,3
911,21
919,14
929,6
937,7
941,3
947,5
953,5
967,6
971,10
977,5
983,10
991,7
997,11
1009,17
1013,5
1019,6
1021,22
1031,21
1033,10
1039,6
1049,6
1051,10
1061,3
1063,6
1069,7
1087,10
1091,6
1093,14
1097,5
1103,7
1109,3
1117,6
1123,3
1129,13
1151,23
1153,10
1163,6
1171,10
1181,10
1187,5
1193,5
1201,17
1213,5
1217,5
1223,10
1229,3
1231,23
1237,5
1249,11
1259,6
1277,3
1279,6
1283,5
1289,11
1291,3
1297,15
1301,3
1303,7
1307,5
1319,17
1321,19
1327,5
1361,6
1367,7
1373,3
1381,6
1399,15
1409,6
1423,6
1427,5
1429,10
1433,5
1439,11
1447,10
1451,6
1453,14
1459,12
1471,7
1481,6
1483,3
1487,10
1489,21
1493,3
1499,6
1511,22
1523,5
1531,10
1543,6
1549,6
1553,5
1559,23
1567,5
1571,8
1579,10
1583,10
1597,13
1601,6
1607,7
1609,17
1613,5
1619,6
1621,6
1627,12
1637,3
1657,15
1663,5
1667,5
1669,6
1693,5
1697,5
1699,11
1709,10
1721,7
1723,12
1733,3
1741,10
1747,3
1753,14
1759,7
1777,10
1783,11
1787,5
1789,10
1801,13
1811,10
1823,10
1831,6
1847,10
1861,6
1867,12
1871,19
1873,15
1877,5
1879,11
1889,6
1901,3
1907,5
1913,5
1931,8
1933,14
1949,3
1951,11
1973,3
1979,6
1987,3
1993,7
1997,3
1999,6
2003,7
2011,7
2017,10
2027,5
2029,6
2039,11
2053,5
2063,10
2069,3
2081,6
2083,3
2087,7
2089,11
2099,6
2111,13
2113,10
2129,6
2131,12
2137,15
2141,3
2143,5
2153,5
2161,28
2179,10
2203,11
2207,7
2213,3
2221,6
2237,3
2239,12
2243,5
2251,10
2267,5
2269,6
2273,5
2281,14
2287,21
2293,5
2297,6
2309,3
2311,11
2333,3
2339,7
2341,10
2347,5
2351,26
2357,3
2371,3
2377,13
2381,12
2383,10
2389,6
2393,5
2399,13
2411,10
2417,5
2423,10
2437,5
2441,11
2447,7
2459,6
2467,3
2473,10
2477,3
2503,5
2521,19
2531,6
2539,3
2543,7
2549,3
2551,19
2557,5
2579,6
2591,19
2593,10
2609,6
2617,10
2621,7
2633,5
2647,5
2657,5
2659,3
2663,10
2671,14
2677,5
2683,3
2687,10
2689,29
2693,3
2699,6
2707,3
2711,11
2713,10
2719,12
2729,6
2731,7
2741,3
2749,13
2753,5
2767,5
2777,5
2789,3
2791,12
2797,5
2801,6
2803,11
2819,6
2833,10
2837,3
2843,5
2851,7
2857,22
2861,3
2879,13
2887,6
2897,5
2903,10
2909,3
2917,6
2927,10
2939,6
2953,15
2957,3
2963,5
2969,6
2971,11
2999,19
3001,23
3011,6
3019,10
3023,10
3037,5
3041,6
3049,13
3061,13
3067,5
3079,12
3083,5
3089,6
3109,11
3119,14
3121,17
3137,6
3163,5
3167,10
3169,14
3181,11
3187,5
3191,17
3203,5
3209,6
3217,15
3221,14
3229,11
3251,10
3253,5
3257,6
3259,10
3271,6
3299,6
3301,10
3307,3
3313,11
3319,12
3323,5
3329,6
3331,10
3343,7
3347,5
3359,13
3361,31
3371,6
3373,11
3389,10
3391,6
3407,10
3413,3
3433,10
3449,6
3457,14
3461,3
3463,5
3467,5
3469,6
3491,6
3499,11
3511,12
3517,5
3527,10
3529,19
3533,3
3539,6
3541,18
3547,3
3557,3
3559,12
3571,3
3581,3
3583,5
3593,5
3607,7
3613,5
3617,5
3623,7
3631,21
3637,14
3643,3
3659,6
3671,19
3673,7
3677,3
3691,19
3697,20
3701,3
3709,6
3719,14
3727,10
3733,6
3739,12
3761,6
3767,7
3769,11
3779,6
3793,7
3797,3
3803,5
3821,7
3823,6
3833,5
3847,6
3851,8
3853,6
3863,10
3877,18
3881,15
3889,19
3907,5
3911,19
3917,3
3919,12
3923,5
3929,6
3931,3
3943,5
3947,5
3967,10
3989,3
4001,6
4003,3
4007,10
4013,3
4019,6
4021,11
4027,5
4049,6
4051,12
4057,10
4073,5
4079,22
4091,6
4093,5
4099,10
4111,17
4127,7
4129,21
4133,3
4139,6
4153,10
4157,3
4159,11
4177,7
4201,13
4211,7
4217,5
4219,3
4229,3
4231,6
4241,6
4243,3
4253,3
4259,6
4261,7
4271,13
4273,7
4283,5
4289,6
4297,7
4327,6
4337,5
4339,11
4349,3
4357,5
4363,3
4373,3
4391,17
4397,3
4409,6
4421,10
4423,5
4441,28
4447,6
4451,6
4457,5
4463,7
4481,6
4483,5
4493,3
4507,3
4513,14
4517,3
4519,6
4523,6
4547,5
4549,7
4561,13
4567,5
4583,10
4591,15
4597,6
4603,3
4621,6
4637,3
4639,6
4643,6
4649,6
4651,10
4657,23
4663,6
4673,5
4679,19
4691,6
4703,10
4721,7
4723,3
4729,34
4733,12
4751,23
4759,6
4783,10
4787,5
4789,6
4793,5
4799,11
4801,19
4813,5
4817,5
4831,7
4861,18
4871,19
4877,3
4889,7
4903,5
4909,13
4919,17
4931,10
4933,5
4937,5
4943,10
4951,7
4957,5
4967,7
4969,14
4973,3
4987,3
4993,11
4999,7
5003,5
5009,6
5011,12
5021,10
5023,12
5039,13
5051,6
5059,10
5077,6
5081,6
5087,10
5099,6
5101,11
5107,7
5113,23
5119,7
5147,5
5153,6
5167,10
5171,6
5179,10
5189,3
5197,19
5209,19
5227,12
5231,14
5233,13
5237,5
5261,3
5273,5
5279,14
5281,17
5297,5
5303,7
5309,3
5323,20
5333,3
5347,5
5351,13
5381,7
5387,5
5393,5
5399,11
5407,6
5413,6
5417,5
5419,10
5431,12
5437,6
5441,6
5443,3
5449,13
5471,13
5477,3
5479,11
5483,5
5501,7
5503,7
5507,5
5519,17
5521,14
5527,6
5531,13
5557,5
5563,3
5569,17
5573,3
5581,10
5591,19
5623,6
5639,14
5641,28
5647,5
5651,6
5653,6
5657,5
5659,10
5669,7
5683,3
5689,13
5693,3
5701,6
5711,29
5717,3
5737,10
5741,3
5743,11
5749,10
5779,3
5783,10
5791,7
5801,7
5807,7
5813,3
5821,10
5827,3
5839,11
5843,5
5849,11
5851,12
5857,10
5861,10
5867,6
5869,7
5879,17
5881,33
5897,5
5903,7
5923,3
5927,10
5939,6
5953,14
5981,7
5987,5
6007,5
6011,6
6029,3
6037,6
6043,7
6047,10
6053,3
6067,12
6073,15
6079,21
6089,6
6091,13
6101,8
6113,5
6121,19
6131,6
6133,6
6143,7
6151,6
6163,11
6173,3
6197,3
6199,6
6203,5
6211,7
6217,10
6221,7
6229,6
6247,6
6257,5
6263,10
6269,3
6271,13
6277,5
6287,10
6299,6
6301,14
6311,13
6317,3
6323,5
6329,12
6337,15
6343,7
6353,5
6359,22
6361,21
6367,5
6373,5
6379,3
6389,3
6397,7
6421,14
6427,13
6449,6
6451,11
6469,18
6473,5
6481,19
6491,6
6521,12
6529,11
6547,3
6551,29
6553,11
6563,7
6569,6
6571,10
6577,15
6581,21
6599,17
6607,5
6619,3
6637,5
6653,3
6659,6
6661,10
6673,10
6679,14
6689,6
6691,3
6701,8
6703,6
6709,6
6719,13
6733,7
6737,5
6761,6
6763,3
6779,6
6781,7
6791,11
6793,11
6803,5
6823,10
6827,5
6829,6
6833,5
6841,31
6857,5
6863,10
6869,3
6871,6
6883,12
6899,6
6907,3
6911,11
6917,3
6947,5
6949,7
6959,14
6961,21
6967,7
6971,6
6977,5
6983,7
6991,12
6997,14
7001,6
7013,3
7019,6
7027,5
7039,6
7043,5
7057,10
7069,6
7079,13
7103,10
7109,3
7121,6
7127,7
7129,14
7151,11
7159,12
7177,17
7187,5
7193,5
7207,6
7211,7
7213,7
7219,7
7229,3
7237,5
7243,3
7247,7
7253,3
7283,5
7297,14
7307,5
7309,10
7321,14
7331,6
7333,14
7349,3
7351,7
7369,13
7393,10
7411,3
7417,13
7433,5
7451,6
7457,5
7459,3
7477,6
7481,7
7487,7
7489,19
7499,6
7507,12
7517,3
7523,5
7529,6
7537,11
7541,3
7547,5
7549,6
7559,17
7561,19
7573,5
7577,5
7583,7
7589,8
7591,12
7603,3
7607,10
7621,6
7639,11
7643,5
7649,6
7669,6
7673,5
7681,31
7687,10
7691,8
7699,10
7703,10
7717,6
7723,11
7727,10
7741,11
7753,31
7757,5
7759,11
7789,7
7793,5
7817,5
7823,7
7829,3
7841,13
7853,7
7867,5
7873,7
7877,3
7879,7
7883,5
7901,3
7907,5
7919,13
7927,5
7933,6
7937,5
7949,3
7951,12
7963,7
7993,11
8009,6
8011,26
8017,10
8039,13
8053,5
8059,7
8069,3
8081,6
8087,7
8089,19
8093,3
8101,18
8111,22
8117,3
8123,5
8147,5
8161,11
8167,6
8171,7
8179,3
8191,31
8209,14
8219,6
8221,7
8231,13
8233,30
8237,3
8243,5
8263,6
8269,10
8273,5
8287,5
8291,6
8293,6
8297,5
8311,12
8317,15
8329,11
8353,10
8363,5
8369,6
8377,7
8387,5
8389,10
8419,13
8423,7
8429,3
8431,11
8443,3
8447,10
8461,18
8467,3
8501,10
8513,6
8521,22
8527,6
8537,5
8539,3
8543,10
8563,3
8573,3
8581,7
8597,3
8599,6
8609,6
8623,5
8627,5
8629,17
8641,21
8647,5
8663,7
8669,3
8677,5
8681,21
8689,22
8693,3
8699,6
8707,14
8713,10
8719,6
8731,3
8737,15
8741,3
8747,5
8753,5
8761,29
8779,19
8783,10
8803,5
8807,7
8819,6
8821,10
8831,11
8837,3
8839,6
8849,12
8861,3
8863,5
8867,5
8887,10
8893,7
8923,3
8929,13
8933,8
8941,14
8951,23
8963,5
8969,6
8971,3
8999,11
9001,13
9007,5
9011,7
9013,6
9029,3
9041,6
9043,5
9049,11
9059,6
9067,5
9091,11
9103,10
9109,14
9127,5
9133,7
9137,5
9151,7
9157,18
9161,6
9173,3
9181,6
9187,5
9199,11
9203,5
9209,6
9221,8
9227,5
9239,23
9241,17
9257,5
9277,13
9281,6
9283,3
9293,3
9311,11
9319,7
9323,5
9337,7
9341,7
9343,6
9349,6
9371,6
9377,5
9391,13
9397,7
9403,7
9413,5
9419,7
9421,6
9431,11
9433,11
9437,5
9439,23
9461,10
9463,6
9467,5
9473,5
9479,13
9491,6
9497,5
9511,6
9521,6
9533,3
9539,6
9547,3
9551,17
9587,5
9601,37
9613,5
9619,11
9623,10
9629,3
9631,6
9643,3
9649,14
9661,6
9677,3
9679,12
9689,6
9697,11
9719,23
9721,14
9733,5
